ID_PRECIO|ID_ITEM|TIPO_TARIFA|PRECIO_PUBLICO|COSTO_PROVEEDOR|ID_PROV
199|140|DOMINGOS_Y_FESTIVOS|269.12|0|14
200|141|LUNES_A_SABADO|94.19|0|14
201|141|DOMINGOS_Y_FESTIVOS|188.38|0|14
202|142|LUNES_A_SABADO|134.56|0|14
203|142|DOMINGOS_Y_FESTIVOS|269.12|0|14
204|143|LUNES_A_SABADO|336.4|0|14
205|143|DOMINGOS_Y_FESTIVOS|672.8|0|14
206|144|LUNES_A_SABADO|336.4|0|14
207|144|DOMINGOS_Y_FESTIVOS|672.8|0|14
208|145|LUNES_A_SABADO|336.4|0|14
209|145|DOMINGOS_Y_FESTIVOS|672.8|0|14
210|146|LUNES_A_SABADO|121.1|0|14
211|146|DOMINGOS_Y_FESTIVOS|242.2|0|14
212|147|LUNES_A_SABADO|2045.31|0|14
213|147|DOMINGOS_Y_FESTIVOS|4090.62|0|14
214|148|LUNES_A_SABADO|282.58|0|14
215|148|DOMINGOS_Y_FESTIVOS|565.16|0|14
216|149|LUNES_A_SABADO|134.56|0|14
217|149|DOMINGOS_Y_FESTIVOS|269.12|0|14
218|150|LUNES_A_SABADO|228.75|0|14
219|150|DOMINGOS_Y_FESTIVOS|457.5|0|14
220|151|LUNES_A_SABADO|336.4|0|14
221|151|DOMINGOS_Y_FESTIVOS|672.8|0|14
222|152|LUNES_A_SABADO|282.58|0|14
223|152|DOMINGOS_Y_FESTIVOS|565.16|0|14
224|153|LUNES_A_SABADO|201.84|0|14
225|153|DOMINGOS_Y_FESTIVOS|403.68|0|14
226|154|LUNES_A_SABADO|201.84|0|14
227|154|DOMINGOS_Y_FESTIVOS|403.68|0|14
228|155|LUNES_A_SABADO|165.0|0|14
229|155|DOMINGOS_Y_FESTIVOS|330.0|0|14
230|156|LUNES_A_SABADO|94.19|0|14
231|156|DOMINGOS_Y_FESTIVOS|188.38|0|14
232|157|LUNES_A_SABADO|134.56|0|14
233|157|DOMINGOS_Y_FESTIVOS|269.12|0|14
234|158|LUNES_A_SABADO|282.58|0|14
235|158|DOMINGOS_Y_FESTIVOS|565.16|0|14
236|159|LUNES_A_SABADO|618.98|0|14
237|159|DOMINGOS_Y_FESTIVOS|1237.96|0|14
238|160|LUNES_A_SABADO|363.31|0|14
239|160|DOMINGOS_Y_FESTIVOS|726.62|0|14
240|161|LUNES_A_SABADO|363.31|0|14
241|161|DOMINGOS_Y_FESTIVOS|726.62|0|14
242|162|LUNES_A_SABADO|363.31|0|14
243|162|DOMINGOS_Y_FESTIVOS|726.62|0|14
244|163|LUNES_A_SABADO|363.31|0|14
245|163|DOMINGOS_Y_FESTIVOS|726.62|0|14
246|164|LUNES_A_SABADO|363.31|0|14
247|164|DOMINGOS_Y_FESTIVOS|726.62|0|14
248|165|LUNES_A_SABADO|363.31|0|14
249|165|DOMINGOS_Y_FESTIVOS|726.62|0|14
250|166|LUNES_A_SABADO|364.0|0|14
251|166|DOMINGOS_Y_FESTIVOS|728.0|0|14
252|167|LUNES_A_SABADO|363.31|0|14
253|167|DOMINGOS_Y_FESTIVOS|726.62|0|14
254|168|LUNES_A_SABADO|363.31|0|14
255|168|DOMINGOS_Y_FESTIVOS|726.62|0|14
256|169|LUNES_A_SABADO|363.31|0|14
257|169|DOMINGOS_Y_FESTIVOS|726.62|0|14
258|170|LUNES_A_SABADO|390.22|0|14
259|170|DOMINGOS_Y_FESTIVOS|780.44|0|14
260|171|LUNES_A_SABADO|390.22|0|14
261|171|DOMINGOS_Y_FESTIVOS|780.44|0|14
262|172|LUNES_A_SABADO|228.75|0|14
263|172|DOMINGOS_Y_FESTIVOS|457.5|0|14
264|173|LUNES_A_SABADO|336.4|0|14
265|173|DOMINGOS_Y_FESTIVOS|672.8|0|14
266|174|LUNES_A_SABADO|1991.49|0|14
267|174|DOMINGOS_Y_FESTIVOS|3982.98|0|14
268|175|LUNES_A_SABADO|3310.18|0|14
269|175|DOMINGOS_Y_FESTIVOS|6620.36|0|14
270|176|LUNES_A_SABADO|618.98|0|14
271|176|DOMINGOS_Y_FESTIVOS|1237.96|0|14
272|177|LUNES_A_SABADO|390.22|0|14
273|177|DOMINGOS_Y_FESTIVOS|780.44|0|14
274|178|LUNES_A_SABADO|484.42|0|14
275|178|DOMINGOS_Y_FESTIVOS|968.84|0|14
276|179|LUNES_A_SABADO|551.7|0|14
277|179|DOMINGOS_Y_FESTIVOS|1103.4|0|14
278|180|LUNES_A_SABADO|646.0|0|14
279|180|DOMINGOS_Y_FESTIVOS|1292.0|0|14
280|181|LUNES_A_SABADO|331.0|0|14
281|181|DOMINGOS_Y_FESTIVOS|662.0|0|14
282|182|LUNES_A_SABADO|201.84|0|14
283|182|DOMINGOS_Y_FESTIVOS|403.68|0|14
284|183|LUNES_A_SABADO|390.22|0|14
285|183|DOMINGOS_Y_FESTIVOS|780.44|0|14
286|184|LUNES_A_SABADO|282.58|0|14
287|184|DOMINGOS_Y_FESTIVOS|565.16|0|14
288|185|LUNES_A_SABADO|107.65|0|14
289|185|DOMINGOS_Y_FESTIVOS|215.3|0|14
290|186|LUNES_A_SABADO|201.84|0|14
291|186|DOMINGOS_Y_FESTIVOS|403.68|0|14
