CLUES|SUBCLUES|CLAVE AREA|AREA|CLAVE SERVICIO|SERVICIO|UBICACION FISICA|DIAS Y HORAS DE SERVICIO
OCIMO000550|OCIMO000550-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
OCIMO001315|OCIMO001315-0203-01|02|SERVICIOS DE SANGRE|0203|CENTRO DE COLECTA||
OCIMO001315|OCIMO001315-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
OCIMO003992|OCIMO003992-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
OCIMO004050|OCIMO004050-0203-01|02|SERVICIOS DE SANGRE|0203|CENTRO DE COLECTA||
OCIMS000042|OCIMS000042-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
OCIMS000766|OCIMS000766-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
OCIMS000783|OCIMS000783-0203-01|02|SERVICIOS DE SANGRE|0203|CENTRO DE COLECTA||
OCIMS000783|OCIMS000783-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
OCIMS000906|OCIMS000906-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
OCIMS000981|OCIMS000981-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
OCIMS001746|OCIMS001746-0203-01|02|SERVICIOS DE SANGRE|0203|CENTRO DE COLECTA||
OCIMS001746|OCIMS001746-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
OCIMS004406|OCIMS004406-0206-01|02|SERVICIOS DE SANGRE|0206|SERVICIO DE TRANSFUSION HOSPITALARIO||
OCIMS004464|OCIMS004464-0203-01|02|SERVICIOS DE SANGRE|0203|CENTRO DE COLECTA||
OCPMX000010|OCPMX000010-0201-01|02|SERVICIOS DE SANGRE|0201|BANCO DE SANGRE||
