CLUES|DOMINGO|LUNES|MARTES|MIERCOLES|JUEVES|VIERNES|SABADO|HORA INICIO|HORA FIN
ASSSA000363|NO|SI|SI|SI|SI|SI|NO|08:00|19:00
ASSSA000375|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000380|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000392|NO|SI|SI|SI|SI|SI|NO|08:00|21:00
ASSSA000392|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASSSA000404|NO|SI|SI|SI|SI|SI|NO|08:00|21:00
ASSSA000404|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASSSA000416|NO|SI|SI|SI|SI|SI|NO|07:00|20:00
ASSSA000421|NO|SI|SI|SI|SI|SI|NO|08:00|21:00
ASSSA000421|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASSSA000433|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000445|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000450|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000462|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000474|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000491|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000503|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000515|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000520|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000532|NO|SI|SI|SI|SI|SI|NO|08:00|21:00
ASSSA000532|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASSSA000544|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000556|NO|SI|SI|SI|SI|SI|NO|08:00|21:00
ASSSA000556|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASSSA000561|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000573|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000585|NO|SI|SI|SI|SI|SI|NO|07:00|15:30
ASSSA000590|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000602|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000614|NO|SI|SI|SI|SI|SI|NO|08:00|21:00
ASSSA000614|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASSSA000626|NO|SI|SI|SI|SI|SI|NO|08:00|21:00
ASSSA000626|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASSSA000631|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000643|NO|SI|SI|SI|SI|SI|NO|08:00|15:30
ASSSA000655|NO|SI|SI|SI|SI|SI|NO|08:00|21:00
ASSSA000655|SI|SI|SI|SI|SI|SI|SI|00:00|23:59
ASSSA000660|NO|SI|SI|SI|SI|SI|NO|08:00|21:00
